"Vaccine Code", "Vaccine Description"
6VAX-F, "Diphtheria and tetanus toxoids and acellular pertussis adsorbed + inactivated poliovirus + hepatitis B + haemophilus B conjugate vaccine"
ADEN, "Adenovirus vaccine live oral type 7"
ADEN_4_7, "Adenovirus type 4 and 7 vaccine, live oral"
ANTH, "Anthrax vaccine"
BCG, "Bacillus Calmette-Guerin vaccine"
CEE, "Central European encephalitis"
CHOL, "Cholera vaccine"
COVID19, "Coronavirus 2019 vaccine"
COVID19-2, "Coronavirus 2019 vaccine, bivalent"
DF, "Dengue fever vaccine"
DPIPV, "Diphtheria, pertussis + inactivated polio virus"
DPP, "Diphtheria/pertussis/polio (oral [live or inactivated not noted])"
DT, "Diphtheria and tetanus toxoids, pediatric"
DTAP, "Diphtheria and tetanus toxoids and acellular pertussis vaccine"
DTAPH, "Diphtheria and tetanus toxoids and acellular pertussis vaccine + haemophilus B conjugate vaccine"
DTAPHEPBIP, "Diphtheria and tetanus toxoids and acellular pertussis vaccine + hepatitis B + inactivated poliovirus vaccine"
DTAPIPV, "Diphtheria and tetanus toxoids and acellular pertussis vaccine + inactivated poliovirus vaccine"
DTAPIPVHIB, "Diphtheria and tetanus toxoids and acellular pertussis vaccine + inactivated poliovirus vaccine + haemophilus B conjugate vaccine"
DTIPV, "Diphtheria and tetanus toxoids, pediatric + inactivated poliovirus vaccine"
DTOX, "Diphtheria toxoid"
DTP, "Diphtheria and tetanus toxoids and pertussis vaccine"
DTPHEP, "Diphtheria, tetanus, pertussis + hepatitis B"
DTPHIB, "Diphtheria and tetanus toxoids and pertussis vaccine + haemophilus B conjugate vaccine"
DTPIHI, "Diphtheria/tetanus/whole pertussis + inactivated polio virus + haemophilus influenza B"
DTPIPV, "Diphtheria and tetanus toxoids and pertussis vaccine + inactivated poliovirus vaccine"
DTPPHIB, "Diphtheria and tetanus toxoids and pertussis vaccine + inactivated poliovirus vaccine + haemophilus B conjugate vaccine (tetanus toxoid conjugate)"
DTPPVHBHPB, "Diphtheria and tetanus toxoids and acellular pertussis, inactivated poliovirus, haemophilus B conjugate and hepatitis B vaccine"
EBZR, "Ebola Zaire vaccine"
FLU(H1N1), "Influenza (H1N1) monovalent"
FLU3, "Influenza virus vaccine, trivalent"
FLU4, "Influenza virus vaccine, quadrivalent"
FLUA3, "Influenza virus vaccine, trivalent, adjuvant"
FLUA4, "Influenza virus vaccine, quadrivalent, adjuvant"
FLUC3, "Influenza virus vaccine, trivalent, cell-culture-derived"
FLUC4, "Influenza virus vaccine, quadrivalent, cell-culture-derived"
FLUN(H1N1), "Influenza (H1N1) monovalent (nasal spray)"
FLUN3, "Influenza virus vaccine (nasal spray)"
FLUN4, "Influenza virus vaccine quadrivalent (nasal spray)"
FLUR3, "Influenza virus vaccine, trivalent, recombinant"
FLUR4, "Influenza virus vaccine, quadrivalent, recombinant"
FLUX, "Influenza virus vaccine, unknown manufacturer"
FLUX(H1N1), "Influenza (H1N1) monovalent, unknown manufacturer"
H5N1, "Pandemic flu vaccine"
HBHEPB, "Haemophilus B conjugate vaccine + hepatitis B"
HBPV, "Haemophilus b polysaccharide vaccine"
HEP, "Hepatitis B virus vaccine"
HEPA, "Hepatitis A"
HEPAB, "Hepatitis A + hepatitis B"
